Invoice,InvoiceDate,Customer ID
489434,2009-12-01 07:45:00,13085.0
489435,2009-12-01 07:46:00,13085.0
489436,2009-12-01 09:06:00,13078.0
489437,2009-12-01 09:08:00,15362.0
489438,2009-12-01 09:24:00,18102.0
489439,2009-12-01 09:28:00,12682.0
489440,2009-12-01 09:43:00,18087.0
489441,2009-12-01 09:44:00,18087.0
489442,2009-12-01 09:46:00,13635.0
489443,2009-12-01 09:50:00,14110.0
489445,2009-12-01 09:57:00,17519.0
489446,2009-12-01 10:06:00,13758.0
489448,2009-12-01 10:18:00,15413.0
489450,2009-12-01 10:36:00,16321.0
489460,2009-12-01 10:46:00,16167.0
489461,2009-12-01 10:49:00,17865.0
489462,2009-12-01 10:49:00,17592.0
489465,2009-12-01 10:52:00,13767.0
489488,2009-12-01 10:59:00,17238.0
489505,2009-12-01 11:17:00,15712.0
489514,2009-12-01 11:21:00,15311.0
489517,2009-12-01 11:34:00,16329.0
489519,2009-12-01 11:37:00,17700.0
489520,2009-12-01 11:41:00,14911.0
489522,2009-12-01 11:45:00,15998.0
489523,2009-12-01 11:46:00,12931.0
489526,2009-12-01 11:50:00,12533.0
489529,2009-12-01 11:51:00,17984.0
489531,2009-12-01 11:57:00,14871.0
489532,2009-12-01 11:58:00,13394.0
489533,2009-12-01 12:02:00,16011.0
489536,2009-12-01 12:13:00,16393.0
489537,2009-12-01 12:14:00,14040.0
489540,2009-12-01 12:18:00,12913.0
489539,2009-12-01 12:18:00,15061.0
489542,2009-12-01 12:19:00,15061.0
489544,2009-12-01 12:20:00,14341.0
489545,2009-12-01 12:22:00,17804.0
489546,2009-12-01 12:30:00,14156.0
489547,2009-12-01 12:30:00,13599.0
489550,2009-12-01 12:33:00,14156.0
489552,2009-12-01 12:36:00,17063.0
489556,2009-12-01 12:47:00,15719.0
489557,2009-12-01 12:52:00,12490.0
489558,2009-12-01 12:54:00,15793.0
489559,2009-12-01 12:55:00,17056.0
489560,2009-12-01 12:56:00,13526.0
489561,2009-12-01 12:57:00,14654.0
489562,2009-12-01 13:07:00,17998.0
489564,2009-12-01 13:13:00,13526.0
489566,2009-12-01 13:16:00,17742.0
489567,2009-12-01 13:19:00,15326.0
489569,2009-12-01 13:20:00,14478.0
489571,2009-12-01 13:29:00,15967.0
489572,2009-12-01 13:29:00,17611.0
489573,2009-12-01 13:29:00,15051.0
489574,2009-12-01 13:31:00,13097.0
489575,2009-12-01 13:37:00,13590.0
489576,2009-12-01 13:38:00,15984.0
489579,2009-12-01 13:41:00,16887.0
489580,2009-12-01 13:43:00,12921.0
489582,2009-12-01 13:47:00,14543.0
489581,2009-12-01 13:47:00,15945.0
489584,2009-12-01 13:48:00,18037.0
489585,2009-12-01 13:49:00,15662.0
489586,2009-12-01 13:50:00,15380.0
489590,2009-12-01 14:14:00,13110.0
